instruction,input,response,,,,,,,,,,,,
- 자율주행차 ,, 운전자 또는 승객의 조작 없이 스스로 운행 가능한 자동차를 의미한다.,,,,,,,,,,,,
- 자율주행차,," 운전자의 조작 없이 스스로 운행 가능한 자동차로, 주행 환경을 인식하고 인공지능 소프트웨어로 경로를 판단하여 자율적으로 주행함.",,,,,,,,,,,,
- 인공지능 소프트웨어,," 자율주행의 핵심기술로, 정보를 기반으로 교통 상황을 판단하고 최적 경로를 계산하는 기술.",,,,,,,,,,,,
- 3차원 공간 인식 기술,, 여러 카메라에서 수집된 영상 데이터를 기반으로 실시간으로 3차원 공간을 생성하는 기술.,,,,,,,,,,,,
- 자율주행 플랫폼 ,, 자율주행 차량을 운영하기 위한 기술적 구조와 소프트웨어를 제공하는 시스템.,,,,,,,,,,,,
- 자율주행 플랫폼,, 자율주행차량을 운영하기 위한 소프트웨어 및 하드웨어 시스템을 통칭.,,,,,,,,,,,,
- 자율주행 서비스,, 자율주행차가 운전자의 개입 없이 운영되는 서비스 형태.,,,,,,,,,,,,
- 자율주행 ,," 특정 조건 하에서 차량이 스스로 주행하는 기술로, 레벨 4 이상의 자율주행 기술이 주목받고 있다.",,,,,,,,,,,,
- 자율 주행 자동차,," 자동차가 스스로 주행을 할 수 있도록 하는 기술로, 센서 및 소프트웨어를 결합하여 환경을 인식하고 판단하는 시스템.",,,,,,,,,,,,
- 자율 주행 자동차 ,, 운전자의 개입 없이 차량이 스스로 주행할 수 있도록 하는 기술.,,,,,,,,,,,,
- 자율 주행 기술 ,, 차량이 인간의 개입 없이 스스로 주행할 수 있는 기술.,,,,,,,,,,,,
- 자율 주행 기술,, 차량이 인간의 개입 없이 스스로 주행할 수 있는 기술.,,,,,,,,,,,,
- 자율주행차,, 운전자의 개입 없이 자동으로 주행할 수 있는 차량.,,,,,,,,,,,,
- 자율주행기술,," 차량이 인간의 개입 없이 스스로 주행할 수 있는 기술로, 다양한 센서 및 소프트웨어를 이용하여 주변 환경을 인식하고 판단한다.",,,,,,,,,,,,
- 클라이언트 시스템,, 실시간 및 신뢰성 요구사항 만족을 위한 알고리즘 통합 시스템.,,,,,,,,,,,,
- 센서 융합,, 여러 개의 저렴한 센서를 사용하여 검출 결과를 신뢰성을 높이고 경제성을 확보하는 기술.,,,,,,,,,,,,
- GNSS (Global Navigation Satellite System) ,," 위치 추정을 위해 위성 신호를 활용하는 시스템으로, GPS, GLONASS, Galileo, BeiDou 등이 포함된다.",,,,,,,,,,,,
- 위치 추정(Location Estimation),, 위치를 특정 지리적 좌표계에 따라 정밀하게 알아내는 기술.,,,,,,,,,,,,
- RTK GNSS,, 실시간 키네마틱(Global Navigation Satellite System)은 지상국과 이동국 간의 GNSS 신호를 사용하여 높은 정확도의 위치 정보를 제공하는 기술이다.,,,,,,,,,,,,
- RTK (Real-Time Kinematic) ,," 위성의 시계 오차, 궤도 오차, 이온층 및 대류층 지연 오차를 줄여 측위 정확성을 높이는 기술.",,,,,,,,,,,,
- RTK GNSS ,," 실시간 동적 측위(Real-Time Kinematic Global Navigation Satellite System)는 자동차의 위치를 높은 정확도로 판단하기 위한 기술로, 모호성 추정 기법과 차분 보정을 통합한다.",,,,,,,,,,,,
- 위치 추정,," 물체의 특정 위치를 판단하는 과정으로, 자율 주행 차량에서 필수적인 기술이다.",,,,,,,,,,,,
- 자이로스코프 (Gyroscope),," 회전 가속도를 측정하는 센서로, 자율 주행 자동차의 3차원 공간에서의 움직임을 정밀하게 측정하는 데 사용된다.",,,,,,,,,,,,
- 라이다 (LiDAR),," 'Light Detection And Ranging'의 약자로, 목표물에 펄스 레이저를 쏘아 반사된 시간을 측정하여 거리 및 3차원 모델을 생성하는 기술.",,,,,,,,,,,,
- 라이다 (LiDAR) ,, 레이저 광선을 이용하여 물체의 거리와 높이를 측정하고 3차원 지도를 생성하는 기술.,,,,,,,,,,,,
- GNSS/INS,, 글로벌 내비게이션 위성 시스템(GNSS)와 관성 내비게이션 시스템(INS)의 융합을 통해 위치 정보를 제공하는 기술.,,,,,,,,,,,,
- 자율 주행 ,, 도로에서 자동으로 차량을 운전하도록 설계된 기술.,,,,,,,,,,,,
- 포인트 클라우드,," 3차원 공간의 점들로 구성된 데이터 집합으로, 물체의 정확한 위치 정보를 제공하는 기술.",,,,,,,,,,,,
- 칼만 필터 (Kalman filter),," 선형 가우시안 상태 공간 모델에 대한 최적해를 구하는 필터로, 상태 추정에 널리 사용된다.",,,,,,,,,,,,
- 가우시안 혼합(Gaussian mixture) ,, 데이터의 분포를 여러 개의 가우시안 분포의 조합으로 모델링하는 통계적 방법.,,,,,,,,,,,,
- 모션 추정 (motion estimation),, 비디오에서 두 이미지 간의 상대적인 움직임을 계산하여 자동차의 현재 자세를 구하는 과정.,,,,,,,,,,,,
- 비주얼 오도메트리,, 카메라의 이미지를 활용하여 로봇이나 차량의 위치와 움직임을 추정하는 기술.,,,,,,,,,,,,
- 모노큘러 타입,," 단일 카메라로 3차원 정보를 재구성하는 기술로, 여러 프레임의 정보가 필요한 접근법이다.",,,,,,,,,,,,
- GPS 모듈,, 차량의 기본 위치 추정을 위해 사용되는 위성 기반 위치 정보 시스템.,,,,,,,,,,,,
- 6차원 강체 변환,," 물체의 위치와 자세를 포함한 변환을 나타내는 수학적 모델로, 자율 주행 차량의 위치 추정에 활용된다.",,,,,,,,,,,,
- 인지 소프트웨어,," 자율 주행차가 주변 환경을 이해하고 해석하기 위해 필요한 소프트웨어 기술로, 하드웨어 센서에서 발생한 데이터를 처리하여 차량 주변의 사물을 인식하는 기능을 수행한다.",,,,,,,,,,,,
- 크라우드 소싱 (crowd-sourcing) ,," 대중을 통해 데이터나 정보를 수집하는 방법으로, 자율 주행 기술 개발에 필요한 데이터 세트를 확보하는 방식의 하나이다.",,,,,,,,,,,,
"- 객체 추적 및 분할(MOTS, Multi-Object Tracking and Segmentation)",, 다중 객체를 인식하고 각각의 객체를 픽셀 단위로 분할하는 기술.,,,,,,,,,,,,
- 객체 탐지 ,," 자율 주행차가 도로에서 자동차, 보행자, 장애물 등을 빠르고 정확하게 인식하는 기술.",,,,,,,,,,,,
- 객체 탐지,," 주어진 이미지나 비디오에서 특정 객체를 찾아내는 기술로, 인공지능 및 컴퓨터 비전 분야에서 중요하게 다루어짐.",,,,,,,,,,,,
- 특징 추출,, 이미지에서 불필요하거나 관련 없는 정보를 제거하고 분류와 관련된 정보만을 유지하는 과정이다.,,,,,,,,,,,,
- HOG (Histogram of Oriented Gradients),," 이미지 처리에서 객체 탐지를 위한 특징 추출 방법으로, 이미지의 gradient 방향과 크기를 기반으로 객체의 형태를 분석하는 기술이다.",,,,,,,,,,,,
